Group.pvalue	interaction.pvalue	Group.padj	interaction.padj
s__Asaccharobacter_celatus	0.883043253592716	0.375434983135215	0.954887289646491	0.507532477201309
s__Megasphaera_elsdenii	0.205482321084067	0.412613658470151	0.901100557638633	0.533111452536655
s__Streptococcus_agalactiae	0.10830569341722	0.0951904653249614	0.718755965405189	0.182865893913742
s__Peptostreptococcus_anaerobius	0.394106941306604	0.152475344445436	0.954887289646491	0.25885349173295
s__Brachyspira_sp_CAG_700	0.00165171850145311	0.00430279322070477	0.087941882515612	0.0394180225245881
s__Bacteroides_plebeius	0.613748375844679	0.00456293827104226	0.954887289646491	0.0394180225245881
s__Bacteroides_finegoldii	0.216307143347633	0.0438221974633551	0.901100557638633	0.112246330344734
s__Adlercreutzia_equolifaciens	0.859088271788318	0.548506303117061	0.954887289646491	0.640655362040727
s__Hungatella_hathewayi	0.47671357335298	0.00235162755347895	0.954887289646491	0.0286114685673273
s__Bifidobacterium_bifidum	0.337228682973034	0.0976796297140751	0.954887289646491	0.185210726470844
s__Megamonas_hypermegale	0.550400262995278	0.0571936913902788	0.954887289646491	0.133114422370686
s__Bifidobacterium_adolescentis	0.13937617780072	0.0464735357518405	0.813956878356207	0.116985107237392
s__Enterococcus_faecalis	0.71066707948729	0.653111903425239	0.954887289646491	0.744955764844414
s__Eubacterium_rectale	0.909623689484792	0.0483908010251875	0.954887289646491	0.119746727960633
s__Barnesiella_intestinihominis	0.398169810878828	0.267495067841659	0.954887289646491	0.3985130602539
s__Citrobacter_youngae	0.793900602602028	0.0505710921464238	0.954887289646491	0.123056324222965
s__Lactococcus_lactis	0.00793700078048435	0.0310533007688545	0.13712569295005	0.0947275813954029
s__Anaeromassilibacillus_sp_An250	0.659480309144922	0.131311533520831	0.954887289646491	0.230981733663148
s__Peptoniphilus_harei	0.0314578812307397	0.00335487271747877	0.3061900439792	0.0349865297679929
s__Lactobacillus_delbrueckii	0.131972442375142	0.0580275438380155	0.813956878356207	0.133114422370686
s__Eubacterium_ventriosum	0.551454911294323	0.0431751503928067	0.954887289646491	0.112246330344734
s__Clostridium_perfringens	0.406157728697246	0.83646268980785	0.954887289646491	0.866124487318767
s__Bifidobacterium_longum	0.625246615987116	0.130608448276971	0.954887289646491	0.230981733663148
s__Clostridium_paraputrificum	0.425650801400968	0.828202916241985	0.954887289646491	0.86369732693807
s__Sharpea_azabuensis	0.985433683065653	0.160152055758968	0.985433683065653	0.268760921158728
s__Ruminococcus_lactaris	0.920326361008579	0.289627606429203	0.954887289646491	0.422856305386636
s__Ruminococcus_bromii	0.245762034690896	0.0322527509299206	0.901100557638633	0.0961000333830287
s__Ruminococcus_torques	0.764462227770727	0.0311433144313654	0.954887289646491	0.0947275813954029
s__Blautia_hansenii	0.816310872085631	0.774353992261231	0.954887289646491	0.831291785809851
s__Clostridium_spiroforme	0.392544079567418	0.000242079616730079	0.954887289646491	0.00504908914894165
s__Mitsuokella_multacida	0.55519842905437	0.130141656623374	0.954887289646491	0.230981733663148
s__Bacteroides_fragilis	0.894998001023867	0.85480341805118	0.954887289646491	0.872928419630233
s__Blautia_wexlerae	0.873575156979202	0.105709960278132	0.954887289646491	0.197867361546247
s__Dialister_micraerophilus	0.0084529536750031	0.00758661574879984	0.13712569295005	0.0408963232404393
s__Bacteroides_caccae	0.618209331768944	0.32978051183133	0.954887289646491	0.454225987994096
s__Parvimonas_micra	0.0182966573879731	0.0190305078505299	0.242846543513097	0.0686650206029859
s__Agathobaculum_butyriciproducens	0.311248695980498	0.0697077380255654	0.954887289646491	0.143342672559613
s__Megamonas_funiformis_CAG_377	0.0364934801319387	0.0538380020683948	0.333003006203941	0.128858168885011
s__Oscillibacter_sp_57_20	0.843606517585455	0.798294405909034	0.954887289646491	0.844572342483471
s__Parabacteroides_distasonis	0.444283495563535	0.854991534295365	0.954887289646491	0.872928419630233
s__Blautia_producta	0.36354811296547	5.48576861561154e-05	0.954887289646491	0.00160184443575857
s__Atopobium_minutum	0.589986057034392	0.451863118677755	0.954887289646491	0.563863378862839
s__Prevotella_bivia	0.329710641084021	0.227793220497134	0.954887289646491	0.359392163872594
s__Clostridium_sp_CAG_58	0.368965101646176	0.0059369624426877	0.954887289646491	0.0408963232404393
s__Mycoplasma_hominis	0.21772591491495	0.382269557759191	0.901100557638633	0.51203078378754
s__Bacteroides_vulgatus	0.8306305129461	0.518822330922824	0.954887289646491	0.615837888737662
s__Prevotella_copri	0.246876865106475	0.000102506236021434	0.901100557638633	0.0024943184098549
s__Butyricicoccus_pullicaecorum	0.453208034811662	0.708733652689953	0.954887289646491	0.793962924966897
s__Roseburia_hominis	0.369500769046671	0.249198056252313	0.954887289646491	0.382978065398291
s__Clostridium_sp_CAG_590	0.000950112057529802	0.00055209832954022	0.087941882515612	0.010075794514109
s__Alistipes_putredinis	0.908647967354708	0.0192826427720714	0.954887289646491	0.0686650206029859
s__Streptococcus_thermophilus	0.0490215905211829	0.0614574484217693	0.421008953887806	0.133302966706014
s__Butyrivibrio_crossotus	0.0228322235829826	0.0260466390878344	0.256423434085805	0.0826697675396483
s__Lactobacillus_crispatus	0.54773066190461	0.169162086764554	0.954887289646491	0.277501850198033
s__Allisonella_histaminiformans	0.204474399728001	0.00322582045994638	0.901100557638633	0.0349865297679929
s__Olsenella_profusa	0.487843437759135	0.0639123812974038	0.954887289646491	0.133302966706014
s__Veillonella_parvula	0.849646247323699	0.302747628840235	0.954887289646491	0.43334464520269
s__Enterococcus_avium	0.619105789371682	0.463301094973603	0.954887289646491	0.573236948018187
s__Bacteroides_sp_CAG_144	0.780407191883849	0.925090979238724	0.954887289646491	0.937939465061484
s__Coprococcus_catus	0.432722739572236	0.263222617136866	0.954887289646491	0.396190743319406
s__Prevotella_sp_CAG_279	0.0687036323650521	0.228927885206515	0.527933175015663	0.359392163872594
s__Paraprevotella_xylaniphila	0.560248188276996	0.486937045129738	0.954887289646491	0.592440071574515
s__Bacteroides_dorei	0.731150225777719	0.0629477691369775	0.954887289646491	0.133302966706014
s__Lactobacillus_rhamnosus	0.327438616145409	0.00485975620166155	0.954887289646491	0.0394180225245881
s__Alistipes_finegoldii	0.949032047356656	0.494955195208154	0.962213048014387	0.597218665292483
s__Bifidobacterium_animalis	0.0311094110454933	0.55938775964803	0.3061900439792	0.64817946752867
s__Actinomyces_turicensis	0.351719191452478	0.238581801916348	0.954887289646491	0.370563224253052
s__Haemophilus_parainfluenzae	0.606340172364343	0.0860471998996711	0.954887289646491	0.169768799802054
s__Eubacterium_sp_CAG_274	0.00831383470314975	0.0091926127011261	0.13712569295005	0.044737381812147
s__Bacteroides_uniformis	0.502559066845132	0.479334817085396	0.954887289646491	0.588091456256032
s__Lachnospira_pectinoschiza	0.25460915997071	0.403255756823388	0.906657008676188	0.525672683001917
