Group.pvalue	interaction.pvalue	conv.mess	Group.padj	interaction.padj
s__Vagococcus_lutrae	0.449697619499806	0.815402916603117	NULL	0.968062464897316	0.98256065419815
s__Asaccharobacter_celatus	0.883043253592716	0.375434983135215	NULL	0.978321321864125	0.621082672700672
s__Megasphaera_elsdenii	0.205482321084067	0.412613658470151	NULL	0.943558232385473	0.660730177350873
s__Leuconostoc_carnosum	0.627586976633919	0.997721441116992	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Streptococcus_agalactiae	0.10830569341722	0.0951904653249614	NULL	0.719861093502075	0.283221014115008
s__Tyzzerella_nexilis	0.993532517018203	0.449233368700097	NULL	0.999931605872488	0.696313631006043
s__Akkermansia_muciniphila	0.818291295429413	0.562470632596601	NULL	0.968981474333256	0.799737005638825
s__Alistipes_timonensis	0.277671853173485	0.581287747243069	boundary (singular) fit: see ?isSingular	0.964531365650919	0.812117954119302
s__Peptostreptococcus_anaerobius	0.394106941306604	0.152475344445436	NULL	0.968062464897316	0.386239250233528
s__Streptococcus_anginosus_group	0.913028426708478	0.129753194399441	NULL	0.981188199856613	0.345858793207872
s__Leuconostoc_pseudomesenteroides	0.71000013350686	0.209205084875585	NULL	0.968062464897316	0.458349322318327
s__Megasphaera_hexanoica	0.999027506827683	0.665685466415625	NULL	0.999931605872488	0.883912933367303
s__Clostridium_celerecrescens	0.514264715794051	0.98249104972026	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Streptococcus_massiliensis	0.657114826135123	0.977572100308345	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Brachyspira_sp_CAG_700	0.00165171850145311	0.00430279322070477	NULL	0.290328680633733	0.0730421206492213
s__Faecalicoccus_pleomorphus	0.547096749074299	0.715125940505041	NULL	0.968062464897316	0.926587912159758
s__Pseudomonas_lundensis	0.657113851827894	0.977571950908415	boundary (singular) fit: see ?isSingular	0.968062464897316	0.999883032960346
s__Bacteroides_plebeius	0.613748375844679	0.00456293827104226	NULL	0.968062464897316	0.0730421206492213
s__Bacteroides_finegoldii	0.216307143347633	0.0438221974633551	NULL	0.945429735627741	0.174717679661596
s__Bifidobacterium_pseudolongum	0.47947203061147	0.0034177600413871	NULL	0.968062464897316	0.0730421206492213
s__Roseburia_sp_CAG_309	0.627553262286799	0.277548845967002	NULL	0.968062464897316	0.516519473961757
s__Adlercreutzia_equolifaciens	0.859088271788318	0.548506303117061	NULL	0.978321321864125	0.784510498820247
s__Hungatella_hathewayi	0.47671357335298	0.00235162755347895	NULL	0.968062464897316	0.0635897526180015
s__Anaerotignum_lactatifermentans	0.598952412623477	0.0355322141414831	NULL	0.968062464897316	0.166961267352375
s__Roseburia_intestinalis	0.547133181238179	0.422018283485117	NULL	0.968062464897316	0.673552359734525
s__Bifidobacterium_bifidum	0.337228682973034	0.0976796297140751	NULL	0.968062464897316	0.288844058418308
s__Staphylococcus_epidermidis	0.834598757284763	0.986324716795631	boundary (singular) fit: see ?isSingular	0.968981474333256	0.999883032960346
s__Megamonas_hypermegale	0.550400262995278	0.0571936913902788	NULL	0.968062464897316	0.207273377820409
s__Phascolarctobacterium_sp_CAG_266	0.563545807834001	0.0324069681727528	NULL	0.968062464897316	0.156300592491512
s__Citrobacter_amalonaticus	0.347442589681167	1.40616260375363e-05	NULL	0.968062464897316	0.00301991062956141
s__Peptoniphilus_coxii	0.266016878010881	0.238336293598397	NULL	0.964531365650919	0.485216997990211
s__Blautia_hydrogenotrophica	0.580424493563161	0.141755077004999	NULL	0.968062464897316	0.367343801701127
s__Bifidobacterium_kashiwanohense	0.821905034140171	0.00368572277591452	NULL	0.968981474333256	0.0730421206492213
s__Leuconostoc_lactis	0.0650332641579301	0.299554790055731	boundary (singular) fit: see ?isSingular	0.644607347553055	0.538751525398739
s__Sellimonas_intestinalis	0.300640762978616	0.0146814319795809	NULL	0.968062464897316	0.104065444325853
s__Bifidobacterium_adolescentis	0.13937617780072	0.0464735357518405	NULL	0.799753782142228	0.177779716130057
s__Enterococcus_durans	0.850617650671181	0.57811076733217	boundary (singular) fit: see ?isSingular	0.978321321864125	0.812117954119302
s__Enterococcus_faecalis	0.71066707948729	0.653111903425239	NULL	0.968062464897316	0.86961308688112
s__Eubacterium_rectale	0.909623689484792	0.0483908010251875	NULL	0.980847020876219	0.182221610110472
s__Actinomyces_sp_oral_taxon_181	0.876919767378119	0.997633072630599	boundary (singular) fit: see ?isSingular	0.978321321864125	0.999883032960346
s__Veillonella_infantium	0.362982310292223	0.807898378799413	NULL	0.968062464897316	0.98256065419815
